date,unit,metric,value
2022-01-03,Unit_Alpha,headcount,121.2
2022-01-03,Unit_Alpha,workload_volume,422.5
2022-01-03,Unit_Alpha,leave_usage,8.2
2022-01-03,Unit_Alpha,grievances,0.0
2022-01-03,Unit_Alpha,workers_comp_claims,0.0
2022-01-03,Unit_Alpha,attrition,2.6
2022-01-10,Unit_Alpha,headcount,119.7
2022-01-10,Unit_Alpha,workload_volume,504.8
2022-01-10,Unit_Alpha,leave_usage,9.5
2022-01-10,Unit_Alpha,grievances,0.9
2022-01-10,Unit_Alpha,workers_comp_claims,0.7
2022-01-10,Unit_Alpha,attrition,2.2
2022-01-17,Unit_Alpha,headcount,121.6
2022-01-17,Unit_Alpha,workload_volume,449.7
2022-01-17,Unit_Alpha,leave_usage,4.8
2022-01-17,Unit_Alpha,grievances,0.0
2022-01-17,Unit_Alpha,workers_comp_claims,0.1
2022-01-17,Unit_Alpha,attrition,1.3
2022-01-24,Unit_Alpha,headcount,123.7
2022-01-24,Unit_Alpha,workload_volume,527.9
2022-01-24,Unit_Alpha,leave_usage,8.2
2022-01-24,Unit_Alpha,grievances,2.0
2022-01-24,Unit_Alpha,workers_comp_claims,0.7
2022-01-24,Unit_Alpha,attrition,0.8
2022-01-31,Unit_Alpha,headcount,119.4
2022-01-31,Unit_Alpha,workload_volume,459.6
2022-01-31,Unit_Alpha,leave_usage,9.4
2022-01-31,Unit_Alpha,grievances,1.4
2022-01-31,Unit_Alpha,workers_comp_claims,0.0
2022-01-31,Unit_Alpha,attrition,3.0
2022-02-07,Unit_Alpha,headcount,119.4
2022-02-07,Unit_Alpha,workload_volume,584.5
2022-02-07,Unit_Alpha,leave_usage,7.9
2022-02-07,Unit_Alpha,grievances,0.1
2022-02-07,Unit_Alpha,workers_comp_claims,0.0
2022-02-07,Unit_Alpha,attrition,1.5
2022-02-14,Unit_Alpha,headcount,123.8
2022-02-14,Unit_Alpha,workload_volume,469.2
2022-02-14,Unit_Alpha,leave_usage,12.3
2022-02-14,Unit_Alpha,grievances,0.0
2022-02-14,Unit_Alpha,workers_comp_claims,0.0
2022-02-14,Unit_Alpha,attrition,1.5
2022-02-21,Unit_Alpha,headcount,121.8
2022-02-21,Unit_Alpha,workload_volume,493.7
2022-02-21,Unit_Alpha,leave_usage,7.7
2022-02-21,Unit_Alpha,grievances,1.6
2022-02-21,Unit_Alpha,workers_comp_claims,0.4
2022-02-21,Unit_Alpha,attrition,1.5
2022-02-28,Unit_Alpha,headcount,118.9
2022-02-28,Unit_Alpha,workload_volume,551.9
2022-02-28,Unit_Alpha,leave_usage,9.2
2022-02-28,Unit_Alpha,grievances,0.4
2022-02-28,Unit_Alpha,workers_comp_claims,0.5
2022-02-28,Unit_Alpha,attrition,1.6
2022-03-07,Unit_Alpha,headcount,121.3
2022-03-07,Unit_Alpha,workload_volume,451.0
2022-03-07,Unit_Alpha,leave_usage,10.1
2022-03-07,Unit_Alpha,grievances,1.5
2022-03-07,Unit_Alpha,workers_comp_claims,0.0
2022-03-07,Unit_Alpha,attrition,1.4
2022-03-14,Unit_Alpha,headcount,118.9
2022-03-14,Unit_Alpha,workload_volume,525.4
2022-03-14,Unit_Alpha,leave_usage,12.1
2022-03-14,Unit_Alpha,grievances,0.0
2022-03-14,Unit_Alpha,workers_comp_claims,0.7
2022-03-14,Unit_Alpha,attrition,1.2
2022-03-21,Unit_Alpha,headcount,118.9
2022-03-21,Unit_Alpha,workload_volume,580.7
2022-03-21,Unit_Alpha,leave_usage,7.8
2022-03-21,Unit_Alpha,grievances,0.0
2022-03-21,Unit_Alpha,workers_comp_claims,0.0
2022-03-21,Unit_Alpha,attrition,1.2
2022-03-28,Unit_Alpha,headcount,120.6
2022-03-28,Unit_Alpha,workload_volume,436.4
2022-03-28,Unit_Alpha,leave_usage,11.8
2022-03-28,Unit_Alpha,grievances,0.5
2022-03-28,Unit_Alpha,workers_comp_claims,0.4
2022-03-28,Unit_Alpha,attrition,1.5
2022-04-04,Unit_Alpha,headcount,115.4
2022-04-04,Unit_Alpha,workload_volume,527.3
2022-04-04,Unit_Alpha,leave_usage,10.1
2022-04-04,Unit_Alpha,grievances,0.5
2022-04-04,Unit_Alpha,workers_comp_claims,0.0
2022-04-04,Unit_Alpha,attrition,1.2
2022-04-11,Unit_Alpha,headcount,115.9
