LEAVE_NBR,EMP_NBR,ACTN_NBR,BEG_DT,END_DT,PAID_IND
L00001,E00872,A00003,12/13/2024,12/19/2024,Y
L00003,E00589,A00034,12/10/2024,12/21/2024,Y
L00004,E01039,A00038,12/30/2024,02/10/2025,Y
L00005,E00459,A00069,04/20/2024,04/28/2024,Y
L00006,E00102,A00075,10/13/2023,12/24/2023,Y
L00007,E00293,A00083,07/19/2025,08/17/2025,Y
L00008,E00058,A00101,08/19/2025,09/15/2025,Y
L00013,E00467,A00149,04/03/2025,04/16/2025,Y
L00020,E00876,A00199,11/03/2025,11/13/2025,Y
L00025,E01541,A00228,02/23/2026,04/12/2026,Y
L00026,E01559,A00229,06/11/2026,09/16/2026,Y
L00029,E02564,A00242,01/27/2026,02/10/2026,Y
L00036,E00545,A00314,08/01/2024,08/11/2024,Y
L00041,E01101,A00367,01/31/2025,04/14/2025,Y
L00043,E02437,A00385,06/24/2025,07/10/2025,Y
L00045,E02774,A00416,08/12/2025,09/16/2025,Y
L00055,E03020,A00505,04/07/2024,04/17/2024,Y
L00057,E01867,A00398,05/25/2024,06/01/2024,Y
