APPL_NBR,ACTN_NBR,FORUM_CD,FILED_DT,RESOLV_DT,OUTCOME_CD,BACKPAY_AMT,SETTLE_AMT,OC_HOURS
P00002,A00017,GRV,06/26/2025,07/24/2025,OVR,"3,017.45",0.00,0.1
P00003,A00069,ARB,05/08/2024,01/27/2025,MIT,603.06,0.00,14.5
P00004,A00076,CSB,01/07/2026,,PND,0.00,0.00,28.1
P00005,A00083,CSB,08/27/2025,12/21/2025,MIT,"10,371.75",0.00,10.5
P00006,A00098,GRV,08/12/2025,09/08/2025,STL,275.55,"15,400.00",1.6
P00008,A00136,ARB,08/06/2024,03/05/2025,SUS,0.00,0.00,38.7
P00020,A00228,ARB,04/18/2026,,PND,0.00,0.00,13.6
P00022,A00245,ARB,12/18/2023,06/03/2024,SUS,0.00,0.00,23.1
P00024,A00257,GRV,07/25/2025,09/20/2025,STL,672.65,"37,900.00",0.1
P00025,A00261,ARB,05/22/2024,12/13/2024,MIT,"1,387.58",0.00,60.2
P00026,A00265,ARB,12/04/2024,11/11/2025,SUS,0.00,0.00,19.7
P00035,A00397,CSB,12/23/2023,06/11/2024,STL,635.48,"37,300.00",18.2
P00036,A00415,GRV,04/05/2025,06/13/2025,SUS,0.00,0.00,1.9
P00037,A00416,GRV,09/30/2025,12/14/2025,SUS,0.00,0.00,1.0
P00042,A00483,GRV,03/18/2026,,PND,0.00,0.00,1.9
