EMP_NBR,TERM_DT,TERM_RSN_CD,ACTN_NBR,REFILL_IND,REFILL_DT,ABOLISH_IND
E01039,02/14/2025,RFC,A00038,Y,04/21/2025,N
E00102,12/25/2023,RFC,A00075,Y,05/16/2024,N
E00293,08/22/2025,RFC,A00083,Y,01/17/2026,N
E00374,11/07/2024,RFC,A00094,Y,02/02/2025,N
E02538,08/20/2026,RFC,A00122,N,,N
E01985,07/28/2024,RFC,A00136,Y,10/21/2024,N
E01979,02/11/2024,RFC,A00151,Y,04/10/2024,N
E01954,01/09/2024,RILR,A00176,N,,N
E01868,10/11/2024,RFC,A00223,Y,12/15/2024,N
E01541,04/15/2026,RFC,A00228,N,,N
E01559,09/17/2026,RILR,A00229,N,,N
E01101,04/16/2025,RFC,A00367,Y,08/04/2025,N
E01867,05/20/2024,RFC,A00398,Y,09/08/2024,N
E02626,01/11/2024,RFC,A00472,Y,03/04/2024,N
